artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album,Cluster
The Weeknd,Alone Again,6b5P51m8xx2XA6U7sdNZ5E,69,2020,pop,0.218,0.652,4,-7.953,0,0.0641,0.033,0.111,0.172,0.0599,65.375,250053,4,After Hours,1
The Weeknd,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,78,2020,pop,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,237520,4,After Hours,1
The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,87,2020,pop,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4,After Hours,1
The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,84,2020,pop,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267,4,After Hours,0
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,90,2020,pop,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,After Hours,0
The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag,85,2020,pop,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,4,After Hours,0
Travis Scott,Apple Pie,6scpNkWEmUxmKY7nYjVLsX,62,2015,house,0.655,0.496,3,-4.139,0,0.0364,0.0335,0.0,0.156,0.28,137.945,219360,4,Rodeo,0
Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq,71,2015,house,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,262693,4,Rodeo,0
Travis Scott,I Can Tell,2hiuiI3ac0I5kJWtkeGHEL,55,2015,house,0.696,0.8,2,-5.68,1,0.0324,0.000819,0.0,0.0954,0.0635,110.013,235533,4,Rodeo,0
Travis Scott,Pornography,2QeQNF182V61Im0QpjdVta,58,2015,house,0.603,0.649,11,-5.887,1,0.117,0.105,0.0,0.712,0.343,128.815,231827,4,Rodeo,1
Taylor Swift,Call It What You Want,1GwMQaZz6Au3QLDbjbMdme,73,2017,pop,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,203507,4,Reputation,0
Taylor Swift,Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,78,2017,pop,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,4,Reputation,0
Taylor Swift,End Game,2x0WlnmfG39ZuDmstl9xfX,73,2017,pop,0.649,0.589,2,-6.237,1,0.0558,0.00845,0.0,0.108,0.151,159.073,244827,4,Reputation,0
Taylor Swift,Delicate,6NFyWDv5CjfwuzoCkw47Xf,78,2017,pop,0.75,0.404,9,-10.178,0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253,4,Reputation,0
Taylor Swift,Gorgeous,1ZY1PqizIl78geGM4xWlEA,77,2017,pop,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680,4,Reputation,0
Drake,Emotionless,5Psnhdkyanjpgc2P8A5TSM,63,2018,hip-hop,0.414,0.677,1,-5.12,1,0.254,0.0248,0.0,0.0793,0.0853,172.521,302173,4,Scorpion,0
Drake,Blue Tint,4n1bdaKwynQndm47x5HqWX,63,2018,hip-hop,0.889,0.372,7,-10.254,0,0.357,0.013,0.0,0.184,0.123,133.997,162800,4,Scorpion,0
Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,74,2018,hip-hop,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4,Scorpion,0
Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,76,2018,hip-hop,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,210747,4,Scorpion,1
Drake,Elevate,3szf2z1Cy1QMrtHrbn8rz9,59,2018,hip-hop,0.758,0.474,1,-8.72,1,0.147,0.0152,0.0,0.116,0.0542,76.061,184960,4,Scorpion,0
Drake,Summer Games,4HG1YiGBseVKzjyKcmAJen,58,2018,hip-hop,0.776,0.482,1,-11.269,1,0.0357,0.477,0.0456,0.11,0.134,136.008,247893,4,Scorpion,0
Drake,That’s How You Feel,41a7dZcq30Ss5kPMayWRV0,63,2018,hip-hop,0.85,0.473,10,-5.747,0,0.209,0.117,0.0103,0.108,0.38,85.454,157605,4,Scorpion,0
Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,77,2018,hip-hop,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,238614,4,Scorpion,0
Drake,Peak,11L064movtyopGdLiX4sVg,57,2018,hip-hop,0.687,0.218,9,-13.539,0,0.0388,0.85,0.000125,0.106,0.269,91.991,206027,4,Scorpion,3
Drake,Can’t Take A Joke,1dUHF4RyMmMTveJ0Rby6Xm,67,2018,hip-hop,0.761,0.598,10,-7.249,0,0.182,0.126,0.0,0.0839,0.446,173.897,163974,4,Scorpion,0
Drake,Finesse,2WP8G2pdddDmnh1xbfKBOI,73,2018,hip-hop,0.807,0.319,0,-8.152,0,0.0581,0.133,0.000338,0.101,0.299,94.992,182080,4,Scorpion,0
Drake,Survival,2yg9UN4eo5eMVJ7OB4RWj3,58,2018,hip-hop,0.555,0.596,9,-9.09,0,0.375,0.133,0.0,0.123,0.145,77.324,136187,4,Scorpion,0
Drake,Jaded,4c2xt1trwYZpMqPWY35Xi9,67,2018,hip-hop,0.764,0.271,0,-5.697,1,0.0414,0.037,0.0,0.175,0.0371,116.019,262453,4,Scorpion,0
Drake,Final Fantasy,44Du2IM1bGY7dicmLfXbUs,54,2018,hip-hop,0.5,0.449,0,-10.977,1,0.442,0.422,7.96e-06,0.115,0.104,144.206,219960,1,Scorpion,3
Drake,Sandra’s Rose,6cblRiEGDRNZgowcm951R3,62,2018,hip-hop,0.486,0.849,1,-5.432,1,0.246,0.0481,0.0,0.143,0.519,152.086,216333,4,Scorpion,1
Drake,Mob Ties,7rC5Pl8rQSX4myONQHYPBK,68,2018,hip-hop,0.754,0.575,4,-8.393,0,0.0682,0.045,0.00131,0.276,0.491,86.009,205147,4,Scorpion,0
Drake,Ratchet Happy Birthday,4SUwJA3eUVNHExxMPEUhQe,52,2018,hip-hop,0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958,207307,4,Scorpion,0
Drake,Is There More,1Tnw0ItH1Macok8gblnPPd,54,2018,hip-hop,0.708,0.547,1,-7.607,1,0.314,0.727,0.0,0.159,0.549,83.8,226907,4,Scorpion,3
Drake,March 14,09lmraDvzBT3pUQ2rUtJzK,52,2018,hip-hop,0.558,0.414,10,-7.355,0,0.358,0.405,0.0,0.36,0.318,127.094,309560,4,Scorpion,3
Drake,8 Out Of 10,0zqy3ss4CwD6u4QPksS0nI,58,2018,hip-hop,0.527,0.689,2,-7.87,1,0.741,0.161,0.0,0.498,0.31,170.538,195720,4,Scorpion,3
The Weeknd,Privilege,0Nwar8rweBUyfyuoyjjUvk,67,2018,pop,0.404,0.564,11,-7.013,0,0.0344,0.915,0.00252,0.134,0.371,93.631,170573,4,"My Dear Melancholy,",3
The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,87,2018,pop,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3,"My Dear Melancholy,",1
The Weeknd,Hurt You,6QdnKD1zwEgyOWtkrdzlOF,74,2018,pop,0.476,0.718,5,-7.227,0,0.149,0.263,0.00261,0.109,0.361,183.932,230027,4,"My Dear Melancholy,",0
The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq,88,2018,pop,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,241067,4,"My Dear Melancholy,",1
